对比轴/目标结论,论文解读依据,目标对比点,判定标准,当前状态,前置条件/阻塞,代码与证据
轴一 学习特征优于手工特征,§9.1/§9.6-1,模型特征 vs eGeMAPS/ComParE,学习特征 WA/UA/WF1 显著更高,未完成,需补 openSMILE、eGeMAPS 88 维、ComParE-2016 6373 维,需补 handcrafted 接入
轴二 领域/多样预训练可能优于通用预训练,§9.2/§9.6-3,固定架构与规模，只换预训练语料,领域或多样预训练模型稳定更高,未完成,需补 OPERA-CT、WavLM-base/large、HuBERT-large,需补模型 checkpoint
轴三 不同监督形式能否分离,§9.3,同一端到端下游比较 SSL/弱监督/配对/领域监督,不同监督形式收益可分离,未做,需改端到端评测协议；论文未隔离,不纳入最小复现
轴四 LoRA 秩增长后收益饱和,§9.4/§9.6-2,"固定模型与数据，只改变 r=2,4,8,16,32,64",找到 WF1 拐点并检查 WA/UA 退化,"部分完成：r=2,4,8,16；样本量×秩扫描已完成；r=32,64 未跑","r=32,64 未跑；当前无官方 split","C1,C2；图 4/5/7"
层选择：声学偏低中层，语义偏高层的特征,§6.4/§9.5,只改变 --layer，比较各层 WF1/UA,12 层：1-6 低中层，7-12 高层，差距<1pp 无偏好,已完成五层对比：ICBHI/TORGO 最佳 layer 1，SEP-28k 最佳 layer 10,"当前覆盖 1,4,7,10,12；完整 12 层仍可扩展","C21,C22；图 8"
base vs large：大模型不一定更好,§6.2/§9.5,同任务同 split 比较 base 与 large,large 不必然更高,已完成三模型对比,需要官方 split 才能严格对表,图 2
不平衡时 WA/UA 分岔，类别加权可能改善 UA,§5/§9.5,WA-UA 差距、per-class recall、加权开/关,WA 高而 UA 低；加权后 UA 上升,WA/UA 趋势已复现；加权未做,需补类别加权实验,图 3/6
池化方式：均值 vs 最大池化,§9.5,同模型/任务/层只换池化,比较两种池化差异,已完成：max WF1=0.9792，高于 cls=0.9563 和 mean=0.9511,TORGO 单任务已完成；可扩展到其他任务,"C17,C18；图 6"
样本量 × 秩：拐点是否随数据量移动,§11.1-A2/§9.5,每类样本数与 LoRA 秩二维扫描,样本量增大时最佳秩是否右移,已完成：最佳秩 2→2→8→16,当前为 TORGO 随机 split；官方 split 仍待补,"C19,C20；图 7"
最小复现集,§9.6,层探针+手工特征；frozen/LoRA/秩扫描；领域数据,三项按顺序完成,第2项核心结果完成；第1和第3项未完成,轴一需补手工特征；轴二需补领域模型,"C7,C8,C21"
严格论文表 III 数值复现,表 III/§9.7,当前结果 vs 论文同模型值,官方数据+官方 split+论文预处理,未完成,需官方 split、完整数据和精确预处理,"C11,C12"
