n_per_class,rank,wa,ua,wf1
50,2,0.875,0.875,0.875
50,4,0.625,0.625,0.5636363636363637
50,8,0.75,0.75,0.7333333333333334
50,16,0.6875,0.6875,0.6536796536796536
100,2,0.8666666666666667,0.8666666666666667,0.8660714285714285
100,4,0.8,0.8,0.7991071428571428
100,8,0.8333333333333334,0.8333333333333333,0.8316498316498316
100,16,0.8333333333333334,0.8333333333333333,0.8316498316498316
200,2,0.8833333333333333,0.8833333333333333,0.8830409356725146
200,4,0.8166666666666667,0.8166666666666667,0.8162071846282372
200,8,0.95,0.95,0.9498746867167919
200,16,0.8666666666666667,0.8666666666666667,0.8666666666666667
500,2,0.9533333333333334,0.9533333333333334,0.9533312591670741
500,4,0.9266666666666666,0.9266666666666667,0.9265066144047036
500,8,0.9533333333333334,0.9533333333333334,0.9533312591670741
500,16,0.9666666666666667,0.9666666666666667,0.9666651851193387
