task,layer,WA,UA,WF1
ICBHI,1,0.8888888888888888,0.4550595238095238,0.8868836541708883
ICBHI,4,0.8819444444444444,0.31398809523809523,0.8661209201779376
ICBHI,7,0.875,0.2921130952380952,0.8637292919700328
ICBHI,10,0.875,0.28809523809523807,0.8637955827789852
ICBHI,12,0.8472222222222222,0.22410714285714284,0.8280613356832869
TORGO,1,0.9792746113989638,0.9786326723894733,0.9793243805930274
TORGO,4,0.9777942264988897,0.9744778442751784,0.9777942264988897
TORGO,7,0.9659511472982976,0.9608660278886068,0.9659511472982976
TORGO,10,0.9600296076980015,0.9516067686293475,0.9599294398980122
TORGO,12,0.9607698001480385,0.9509241627372749,0.9606079183951461
SEP-28k,1,0.762481089258699,0.6018498627521184,0.7284183720938094
SEP-28k,4,0.7813918305597579,0.6755191550304331,0.7707372365409686
SEP-28k,7,0.7859304084720121,0.6662071846282372,0.7702297658071247
SEP-28k,10,0.7813918305597579,0.6850369972550423,0.7737069438049509
SEP-28k,12,0.7609682299546142,0.6522258026017425,0.750490044553558
